params,return,win_rate,trades,params_str
"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}",-13.980879148599923,57.22543352601156,519,"{'rsi_window': 5, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}",-15.330091505549609,62.33538191395961,1139,"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}",-15.779398566649824,62.1683967704729,867,"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}",-16.747698295299784,61.885245901639344,732,"{'rsi_window': 4, 'sma_window': 50, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}",-16.89177175344974,61.832061068702295,786,"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}",-17.307952368449808,61.04972375690608,724,"{'rsi_window': 4, 'sma_window': 60, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}",-17.687372766799733,63.23396567299007,1107,"{'rsi_window': 3, 'sma_window': 60, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}"
"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}",-17.94169398864986,62.47002398081535,834,"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}",-17.984810098099917,59.964093357271096,557,"{'rsi_window': 4, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}",-18.5767113964497,63.03360581289736,1101,"{'rsi_window': 3, 'sma_window': 100, 'buy_threshold': 30, 'sell_threshold': 70, 'max_holding_days': 30}"
"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}",-18.607867765949845,63.94399066511085,857,"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 25, 'sell_threshold': 75, 'max_holding_days': 40}"
"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}",-20.14192698324962,62.95636687444346,1123,"{'rsi_window': 3, 'sma_window': 50, 'buy_threshold': 35, 'sell_threshold': 70, 'max_holding_days': 40}"
