BuyDate,SellDate,Name,Ticker,BuyPrice,SellPrice,Shares,PnL_Amount,PnL_Pct,HoldingDays,BuyRSI,SellRSI
2019-09-24,2019-10-17,에코앤드림,101360.KQ,2529.166748046875,2145.833251953125,136062,-53472558.20086229,-15.520921284595431,23,33.61499317835232,71.05247856699557
2021-05-07,2021-06-21,씨젠,096530.KQ,71509.1328125,65063.72265625,7785,-52413262.85996193,-9.404201293801634,45,18.894152688591262,86.2003448754375
2016-12-20,2017-03-31,리가켐바이오,141080.KQ,17550.0,13000.0,11354,-52354798.405,-26.24407856890502,101,22.545734236496344,72.36668268992247
2016-12-16,2017-03-21,쏠리드,050890.KQ,3385.475830078125,2568.404296875,61190,-50729894.048264265,-24.46046071728786,95,33.369005191688444,77.63374824161869
2015-07-16,2015-09-11,에코프로,086520.KQ,1746.721923828125,1435.557373046875,158323,-50298470.87917262,-18.167193786229994,57,28.946709579195115,71.85693055814562
2018-02-27,2018-04-17,감성코퍼레이션,036620.KQ,2005.0,1715.0,166140,-49461207.120000005,-14.831223394841569,49,25.74470589361445,71.32562952696375
2021-07-27,2021-09-02,우리기술,032820.KQ,2530.0,2350.0,258350,-49167105.20000005,-7.513572829980706,37,22.37902876230895,80.53590865708927
2013-04-26,2013-07-12,에스엠,041510.KQ,44703.171875,34240.73046875,4604,-48902345.265880466,-23.733231840941404,77,34.77000335110233,72.197453912854
2024-11-05,2024-11-25,ISC,095340.KQ,56988.7109375,54812.05859375,19946,-48166545.16129017,-4.232546098582832,20,25.59747504903602,76.81512123891346
2013-07-29,2013-10-24,쏠리드,050890.KQ,6298.0234375,4677.20849609375,29022,-47677076.77779272,-26.054266898097783,87,22.13531382826359,73.75342469598148
2017-01-09,2017-03-28,에스앤에스텍,101490.KQ,7185.11669921875,5573.6787109375,28892,-47303656.99259344,-22.760622339433695,78,34.522740527388976,70.59592636134451
2020-09-11,2020-11-04,대주전자재료,078600.KQ,45339.046875,40710.578125,9761,-46939155.32297498,-10.594230546170074,54,24.612079539817913,70.72679753514316
2018-09-17,2018-11-28,서진시스템,178320.KQ,8503.61328125,7329.908203125,38729,-46729382.921904385,-14.172651539730996,72,24.695091095901233,76.6373405471044
2022-08-05,2022-11-08,휴젤,145020.KQ,127000.0,117000.0,4275,-44949915.0,-8.269702440618486,95,33.53280764452157,76.06245872357377
